ts,prompt_id,variant,compression_mode,compression_valid,logit_entropy,gap_state_to_candidates,operator_strength,risk_score,candidate_coherence,candidate_variance,degeneracy_ratio_topk,degenerate,topk_overlap_vs_raw,top1_match_vs_raw,rank_correlation_vs_raw,raw_token_count,effective_token_count,tokens_saved,compression_ratio,delta_vs_raw_logit_entropy,delta_vs_raw_gap_state_to_candidates,delta_vs_raw_candidate_coherence,delta_vs_raw_degeneracy_ratio_topk
20260308T122617Z,p03_who_was_the_president_of_france_in_1,raw,none,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,10,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p03_who_was_the_president_of_france_in_1,compressed,raw_fallback,True,6.1503472328186035,6.814836025238037,6.687980651855469,1.0,0.6727576434207994,0.01042330057608639,1.0,True,1.0,True,1.0,10,10,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p03_who_was_the_president_of_france_in_1,compressed_vectorized_proxy_mean,raw_fallback,True,2.2708775997161865,6.384382247924805,6.349283218383789,1.0,0.9101667152988917,0.0061565831644728695,0.4,False,0.0,False,,10,21,0,2.1,-3.879469633102417,-0.4304537773132324,0.23740907187809235,-0.6
20260308T122617Z,p03_who_was_the_president_of_france_in_1,compressed_vectorized_proxy_attn_weighted,raw_fallback,True,2.2708775997161865,6.384382247924805,6.349283218383789,1.0,0.9101667152988917,0.0061565831644728695,0.4,False,0.0,False,,10,21,0,2.1,-3.879469633102417,-0.4304537773132324,0.23740907187809235,-0.6
20260308T122617Z,p03_who_was_the_president_of_france_in_1,compressed_vectorized_proxy_pca1,raw_fallback,True,4.385778903961182,2.5297417640686035,2.503478527069092,1.0,0.8005430036755047,0.012801782268570542,0.3,False,0.0,False,,10,27,0,2.7,-1.7645683288574219,-4.285094261169434,0.12778536025470533,-0.7
20260308T122617Z,p04_if_all_roses_are_flowers_and_some_fl,raw,none,True,4.916565895080566,8.636602401733398,8.530171394348145,1.0,0.43276177710507296,0.013001633546488256,0.9,True,1.0,True,1.0,19,19,0,1.0,0.0,0.0,0.0,0.0
20260308T122617Z,p04_if_all_roses_are_flowers_and_some_fl,compressed,compressed,True,5.1717376708984375,5.995408058166504,5.8513689041137695,1.0,0.9223868281485608,0.0041247742973707195,0.9,True,0.5555555555555556,True,0.22857142857142854,19,15,4,0.7894736842105263,0.2551717758178711,-2.6411943435668945,0.4896250510434878,0.0
20260308T122617Z,p04_if_all_roses_are_flowers_and_some_fl,compressed_vectorized_proxy_mean,compressed,True,5.090980052947998,3.3673932552337646,3.299992322921753,1.0,0.7769689161030319,0.010285412142684282,0.5,False,0.0,False,,19,20,0,1.0526315789473684,0.17441415786743164,-5.269209146499634,0.3442071389979589,-0.4
20260308T122617Z,p04_if_all_roses_are_flowers_and_some_fl,compressed_vectorized_proxy_attn_weighted,compressed,True,5.090980052947998,3.3673932552337646,3.299992322921753,1.0,0.7769689161030319,0.010285412142684282,0.5,False,0.0,False,,19,20,0,1.0526315789473684,0.17441415786743164,-5.269209146499634,0.3442071389979589,-0.4
20260308T122617Z,p04_if_all_roses_are_flowers_and_some_fl,compressed_vectorized_proxy_pca1,compressed,True,4.77842378616333,4.885436534881592,4.789504528045654,1.0,0.3984111471433639,0.015876490489474357,0.6,False,0.1111111111111111,False,,19,25,0,1.3157894736842106,-0.13814210891723633,-3.7511658668518066,-0.03435062996170907,-0.30000000000000004
